word,n_gram_score,pos,frequency,tf_idf,inf,match_count,volume_count,source
Section,2,NNP,6,0.00534507152963,-0.00237307814178,46534382,2407259,1
circular matrix,10,NN,6,0.00534507152963,-0.00237307814178,229,158,1
closed,2,JJ,6,0.00534507152963,-0.00237307814178,24233813,2510148,1
coefficients,2,NNS,6,0.00534507152963,-0.00237307814178,4807246,295984,1
commutative,2,JJ,6,0.00534507152963,-0.00237307814178,377849,40447,1
convexity,2,NN,6,0.00534507152963,-0.00237307814178,286991,67761,1
denote,2,VBP,6,0.00534507152963,-0.00237307814178,3371851,616498,1
dimension,2,NN,6,0.00534507152963,-0.00237307814178,5889768,982646,1
dimensional,2,JJ,6,0.00534507152963,-0.00237307814178,5612131,581588,1
exists,2,NNS,6,0.00534507152963,-0.00237307814178,14927472,2030476,1
free polynomials,10,NNS,6,0.00534507152963,-0.00237307814178,1,1,1
free spectrahedra,10,JJ,6,0.00534507152963,-0.00237307814178,1,1,1
inclusion,2,NN,6,0.00534507152963,-0.00237307814178,3224803,910663,1
main,2,JJ,6,0.00534507152963,-0.00237307814178,37334337,2735998,1
subpencil,2,NN,6,0.00534507152963,-0.00237307814178,1,1,1
symmetric,2,JJ,6,0.00534507152963,-0.00237307814178,1680971,161166,1
whenever,2,WRB,6,0.00534507152963,-0.00237307814178,9629291,2146817,1
Linear,2,NNP,5,0.00445422627469,-0.00204648363354,11614389,730698,1
Note,2,NNP,5,0.00445422627469,-0.00204648363354,37401375,2731620,1
Sets,2,NNP,5,0.00445422627469,-0.00204648363354,14297172,2215002,1
Soc,2,NNP,5,0.00445422627469,-0.00204648363354,8413752,351837,1
Spectrahedra,2,NNP,5,0.00445422627469,-0.00204648363354,1,1,1
University,2,NNP,5,0.00445422627469,-0.00204648363354,80244042,2388400,1
Zal,2,NNP,5,0.00445422627469,-0.00204648363354,24425,5135,1
admissible,2,JJ,5,0.00445422627469,-0.00204648363354,1248980,222067,1
assumed,2,VBD,5,0.00445422627469,-0.00204648363354,17743931,2265186,1
basis,2,NN,5,0.00445422627469,-0.00204648363354,39579430,2382168,1
blocks,2,NNS,5,0.00445422627469,-0.00204648363354,7724417,1470764,1
circular free,10,JJ,5,0.00445422627469,-0.00204648363354,795,583,1
commutative,2,VBP,5,0.00445422627469,-0.00204648363354,377849,40447,1
complete,2,JJ,5,0.00445422627469,-0.00204648363354,41202946,2932601,1
complex,2,JJ,5,0.00445422627469,-0.00204648363354,28491331,2037972,1
contractions,2,NNS,5,0.00445422627469,-0.00204648363354,1308426,223702,1
distinct,2,JJ,5,0.00445422627469,-0.00204648363354,15084408,2089300,1
finite dimensional,10,JJ,5,0.00445422627469,-0.00204648363354,82147,9789,1
free spectrahedron,10,VBP,5,0.00445422627469,-0.00204648363354,1,1,1
interior,2,JJ,5,0.00445422627469,-0.00204648363354,9586649,1490785,1
irrational,2,JJ,5,0.00445422627469,-0.00204648363354,1916556,630801,1
