word,source
Polarizability!magnetic,3
Polarizability!logarithmic~modification,3
Polarizability!spin-dependent,3
Hyperfine~splitting!spin-dependent~polarizability,3
Hyperfine~splitting!deuterium,3
Electric~polarizability!light~nuclei,3
Lamb~shift!MU@muonic $^4$He,3
Nuclear~current~density!magnetization density,3
Nuclear~current~density!meson-exchange~currents,3
Hyperfine~splitting!light~atoms,3
Hyperfine~splitting!Zemach~moments,3
Gerasimov-Drell-Hearn~sum~rule,3
Nuclear~radii!proton,3
Electron-nucleus~scattering!Coulomb~corrections,3
Lamb~shift!muonic~hydrogen,3
Nuclear~radii!wave~function,3
Nuclear~charge~density!exotic~contributions,3
Nuclear~radii!neutron,3
Isotope~shift!light~atoms,3
Isotope~shift!helium~isotopes,3
Isotope~shift!hydrogen~isotopes,3
Isotope~shift!lithium~isotopes,3
Isotope~shift!deuterium-hydrogen,3
Nuclear~radii!deuterium,3
Magnetic~susceptibility!deuterium,3
Isotope~shift!tritium-hydrogen,3
Nuclear~radii!3He@$^3$He,3
Painlev\'e!analysis,4
Painlev\'e!property,4
Painlev\'e!property for ODEs,4
singularity!movable,4
singularity!fixed,4
Painlev\'e!functions,4
irreducibility,4
classification,4
"B\""acklund transformation",4
"B\""acklund transformation!auto--",4
integrability,4
"B\""acklund parameter",4
Painlev\'e!property for PDEs,4
hodograph transformation,4
reduction!noncharacteristic,4
Painlev\'e!test,4
method of pole-like expansions,4
singular manifold!variable,4
homographic!group,4
homographic!invariants,4
Schwarzian,4
KPP equation,4
diophantine condition,4
no-logarithm condition,4
singular part operator,4
Kundu-Eckhaus equation,4
truncation!method,4
singular manifold!method,4
Darboux!involution,4
Lax pair,4
Korteweg-de Vries equation!modified,4
singular manifold!equation,4
Korteweg-de Vries equation,4
Darboux-Halphen system,4
Lorenz model,4
solitary waves,4
Kuramoto-Sivashinsky equation,4
Painlev\'e!equation $\PVI$,4
Liouville--integrability,4
H\'enon-Heiles system,4
separating variables,4
Painlev\'e!property!discrete,4
Painlev\'e!test!discrete,4
singularity confinement method,4
contiguity relation,4
u_l\ \vert \ l<j \,4
"u(x+k \pas),\ k-k_0=0,\dots,N\",4
"u(x \pasq^k),\ k-k_0=0,\dots,N\",4
